,id,gender,age,mask,img_path,class
0,1143,1,1,0,/opt/ml/input/data/train/new_images/001143_female_Asian_35/001143_female_Asian_35_mask3.jpg,4
1,1143,1,1,1,/opt/ml/input/data/train/new_images/001143_female_Asian_35/001143_female_Asian_35_incorrect_mask.jpg,10
2,1143,1,1,2,/opt/ml/input/data/train/new_images/001143_female_Asian_35/001143_female_Asian_35_normal.jpg,16
3,1143,1,1,0,/opt/ml/input/data/train/new_images/001143_female_Asian_35/001143_female_Asian_35_mask5.jpg,4
4,1143,1,1,0,/opt/ml/input/data/train/new_images/001143_female_Asian_35/001143_female_Asian_35_mask1.jpg,4
5,1143,1,1,0,/opt/ml/input/data/train/new_images/001143_female_Asian_35/001143_female_Asian_35_mask4.jpg,4
6,1143,1,1,0,/opt/ml/input/data/train/new_images/001143_female_Asian_35/001143_female_Asian_35_mask2.jpg,4
7,378,1,1,0,/opt/ml/input/data/train/new_images/000378_female_Asian_55/000378_female_Asian_55_mask4.jpg,4
8,378,1,1,2,/opt/ml/input/data/train/new_images/000378_female_Asian_55/000378_female_Asian_55_normal.jpg,16
9,378,1,1,0,/opt/ml/input/data/train/new_images/000378_female_Asian_55/000378_female_Asian_55_mask1.jpg,4
10,378,1,1,0,/opt/ml/input/data/train/new_images/000378_female_Asian_55/000378_female_Asian_55_mask2.jpg,4
11,378,1,1,0,/opt/ml/input/data/train/new_images/000378_female_Asian_55/000378_female_Asian_55_mask3.jpg,4
12,378,1,1,0,/opt/ml/input/data/train/new_images/000378_female_Asian_55/000378_female_Asian_55_mask5.jpg,4
13,378,1,1,1,/opt/ml/input/data/train/new_images/000378_female_Asian_55/000378_female_Asian_55_incorrect_mask.jpg,10
14,625,0,1,0,/opt/ml/input/data/train/new_images/000625_male_Asian_57/000625_male_Asian_57_mask5.jpg,1
15,625,0,1,0,/opt/ml/input/data/train/new_images/000625_male_Asian_57/000625_male_Asian_57_mask3.jpg,1
16,625,0,1,0,/opt/ml/input/data/train/new_images/000625_male_Asian_57/000625_male_Asian_57_mask4.jpg,1
17,625,0,1,2,/opt/ml/input/data/train/new_images/000625_male_Asian_57/000625_male_Asian_57_normal.jpg,13
18,625,0,1,1,/opt/ml/input/data/train/new_images/000625_male_Asian_57/000625_male_Asian_57_incorrect_mask.jpg,7
19,625,0,1,0,/opt/ml/input/data/train/new_images/000625_male_Asian_57/000625_male_Asian_57_mask2.jpg,1
20,625,0,1,0,/opt/ml/input/data/train/new_images/000625_male_Asian_57/000625_male_Asian_57_mask1.jpg,1
21,1763,1,1,0,/opt/ml/input/data/train/new_images/001763_female_Asian_42/001763_female_Asian_42_mask2.jpg,4
22,1763,1,1,0,/opt/ml/input/data/train/new_images/001763_female_Asian_42/001763_female_Asian_42_mask5.jpg,4
23,1763,1,1,0,/opt/ml/input/data/train/new_images/001763_female_Asian_42/001763_female_Asian_42_mask1.jpg,4
24,1763,1,1,0,/opt/ml/input/data/train/new_images/001763_female_Asian_42/001763_female_Asian_42_mask3.jpg,4
25,1763,1,1,0,/opt/ml/input/data/train/new_images/001763_female_Asian_42/001763_female_Asian_42_mask4.jpg,4
26,1763,1,1,1,/opt/ml/input/data/train/new_images/001763_female_Asian_42/001763_female_Asian_42_incorrect_mask.jpg,10
27,1763,1,1,2,/opt/ml/input/data/train/new_images/001763_female_Asian_42/001763_female_Asian_42_normal.jpg,16
28,3297,1,0,0,/opt/ml/input/data/train/new_images/003297_female_Asian_20/003297_female_Asian_20_mask1.jpg,3
29,3297,1,0,0,/opt/ml/input/data/train/new_images/003297_female_Asian_20/003297_female_Asian_20_mask3.jpg,3
30,3297,1,0,0,/opt/ml/input/data/train/new_images/003297_female_Asian_20/003297_female_Asian_20_mask5.jpg,3
